marlin/is/a/stalker	10.0,8.0	-66,-64,-60,-66,-69|-64,-62,-58,-64,-67|-63,-62,-57,-63,-66|-62,-60,-56,-62,-65|-58,-57,-53,-58,-61|-50,-48,-44,-50,-53
find/this/hidden/nemo/there	0.0,10.0	-59,-64,-67,-65,-65|-19,-24,-27,-25,-25|-60,-65,-68,-66,-66|-62,-67,-70,-68,-68|-53,-58,-61,-59,-59|-59,-64,-67,-65,-65
hi/dory/wassup/	8.0,6.0	-62,-66,-68,-59,-65|-61,-65,-67,-58,-64|-59,-62,-65,-55,-62|-58,-62,-64,-55,-61|-56,-60,-62,-53,-59|-55,-59,-61,-52,-59
/nemo/has/been/here	6.0,4.0	-63,-61,-63,-63,-64|-64,-63,-64,-65,-65|-58,-56,-58,-59,-59|-61,-59,-61,-61,-62|-62,-60,-61,-62,-62|-63,-61,-63,-63,-64
find/this/hidden/nemo/here	0.0,8.0	-63,-60,-60,-59,-64|-51,-49,-48,-48,-53|-64,-62,-61,-61,-66|-67,-65,-64,-63,-68|-59,-57,-56,-56,-61|-65,-63,-62,-62,-66
find/this/hidden/nemo/over/there	2.0,0.0	-55,-52,-50,-50,-57|-69,-65,-64,-64,-71|-58,-55,-53,-53,-60|-67,-63,-62,-62,-69|-69,-66,-64,-64,-71|-71,-67,-66,-66,-73
marlin/tracks/nemo	10.0,4.0	-66,-67,-65,-65,-71|-67,-68,-65,-66,-71|-62,-63,-60,-61,-66|-58,-59,-56,-57,-62|-64,-64,-62,-62,-68|-61,-62,-60,-60,-66
marlin/checked/this/entry	10.0,2.0	-63,-61,-63,-69,-63|-65,-63,-65,-71,-65|-58,-56,-57,-63,-58|-49,-48,-49,-55,-50|-62,-61,-62,-68,-63|-61,-59,-61,-67,-61
please/nemo/come/back/home	4.0,2.0	-60,-60,-63,-58,-59|-66,-66,-69,-64,-65|-54,-54,-58,-53,-53|-63,-63,-66,-61,-62|-65,-65,-68,-63,-64|-67,-67,-70,-65,-66
/wierd/topic/isnt/it	4.0,6.0	-63,-62,-63,-62,-63|-61,-60,-61,-60,-61|-62,-60,-62,-61,-61|-65,-63,-65,-63,-64|-59,-57,-59,-57,-58|-63,-62,-63,-62,-63
hey/nemo/where/are/u	2.0,8.0	-61,-59,-63,-67,-65|-52,-50,-54,-58,-56|-61,-59,-63,-67,-65|-63,-62,-66,-69,-68|-54,-52,-56,-60,-58|-61,-59,-63,-67,-65
nemo/has/been/here/too	6.0,6.0	-64,-65,-63,-64,-63|-62,-64,-61,-62,-61|-61,-62,-60,-61,-60|-62,-64,-61,-62,-61|-57,-59,-57,-57,-57|-60,-62,-59,-60,-59
